sentence,quarter,topic,topic_label
"In the quarter, we acquired 2.9 million new cards, and the spend revenue and credit profiles of our new cardmembers continue to look strong",2023 Q4,0,Growth & Spending
"Moving on to Slide 14, You can see that net interest income was up 30 year over year on an FX-adjusted basis in Q4 and 33 for the full year",2023 Q4,0,Growth & Spending
This growth is driven by the increase in our revolving loan balances and also by continued net yield expansion versus last year,2023 Q4,0,Growth & Spending
"When you think about 2024, you should expect to see net interest income growth moderate as balanced growth moderates with some continued tailwind from our tenured customers continuing to rebuild balances",2023 Q4,0,Growth & Spending
"And I would remind you that for our business model, we would not expect to see a meaningful impact from a lower interest rate environment next year",2023 Q4,0,Growth & Spending
"To sum up revenues on Slide 15, the power of our diversified model continues to drive strong revenue momentum",2023 Q4,0,Growth & Spending
"Looking forward into 2024, we expect to see revenue growth between 9 and 11",2023 Q4,0,Growth & Spending
Moving to expenses on Slide 16,2023 Q4,-1,General
"Overall total expenses were up 5 in the fourth quarter and 10 on a full year basis, both growing significantly lower than revenue",2023 Q4,-1,General
"This expense growth reflects the strong growth we are seeing in our business, the investments weve made, as well as our continued focus on expense discipline",2023 Q4,0,Growth & Spending
Starting at the top of the page with variable customer engagement expenses,2023 Q4,0,Growth & Spending
These costs came in at 40 of total revenues for the fourth quarter and 41 for the full year,2023 Q4,-1,General
"I would note that this cost came in a bit lower than our expectations, reflecting some of the natural hedges in our model",2023 Q4,0,Growth & Spending
"As TE spend growth slowed a bit in the quarter, we saw lower rewards costs than we had expected, for example, a lower mix of redemptions for airline tickets and fewer points earned on airline spend",2023 Q4,0,Growth & Spending
"In 2024, I would expect our variable customer engagement expenses to grow slightly higher than our revenue as we continue to focus on our premium products and drive engagement from our cardmembers",2023 Q4,0,Growth & Spending
"On the marketing line, we invested around 1.2 billion in the fourth quarter and 5.2 billion for the full year",2023 Q4,0,Growth & Spending
This is a bit below last year and our expectations to have marketing spend at around 5.5 billion,2023 Q4,0,Growth & Spending
"Marketing expense came in lower than we expected for the quarter, reflecting lower demand, given the softer TE environment",2023 Q4,-1,General
"However, we saw demand increase as we move through the quarter, and we continue to plan for increased marketing spend in 2024",2023 Q4,0,Growth & Spending
"Were confident that with our sophisticated acquisition engine, well do so in an efficient way",2023 Q4,-1,General
"Moving to the bottom of Slide 16 brings us to operating expenses, which were 4.2 billion in the fourth quarter and 14.9 billion for the full year 2023",2023 Q4,0,Growth & Spending
"This was above our original expectations, driven by a few notable items in the quarter",2023 Q4,-1,General
"First, as part of the normal course of business, we set up a reserve to cover expenses as we continuously look to enhance the organizations effectiveness",2023 Q4,-1,General
We also set up a reserve for exposure to a specific merchant,2023 Q4,0,Growth & Spending
"And like many others, we were impacted by the devaluation of the Argentine peso, which increased our opex in Q4 by 115 million",2023 Q4,0,Growth & Spending
"Looking forward, we continue to see opex as a key source of leverage and our focus on delivering low levels of growth as we have historically done",2023 Q4,0,Growth & Spending
"In 2024, we expect operating expenses to be fairly flat to this years expense",2023 Q4,0,Growth & Spending
"We will, of course, continue to assess opportunities as we move through the year, and our flexible model will allow us to dial up or down investments as needed",2023 Q4,-1,General
"Taking everything into account in 2024, we expect total expense to grow mid- to high-level digits for the full year as we expect to drive continued leverage through our operating expenses",2023 Q4,0,Growth & Spending
Turning next to capital on Slide 17,2023 Q4,0,Growth & Spending
"We returned 5.3 billion of capital to our shareholders in 2023, including 1.4 billion in the fourth quarter",2023 Q4,0,Growth & Spending
"On the back of strong earnings generation, we ended the year with our CET1 ratio at 10.5, within our target range of 10 to 11",2023 Q4,0,Growth & Spending
"In Q1 2024, as Steve discussed, we expect to increase our dividend by over 15 to 0.70 per quarter, consistent with our approach of growing our dividend in line with earnings and our 2025 target payout ratio",2023 Q4,0,Growth & Spending
We plan to continue to return to shareholders the excess capital we generate while supporting our balance sheet growth,2023 Q4,0,Growth & Spending
We do not expect any material near-term changes to our capital management approach,2023 Q4,0,Growth & Spending
That brings me to our long-term aspiration and 2024 guidance on Slide 18,2023 Q4,0,Growth & Spending
"We continue to run our business with a focus on our aspiration of revenue growth in excess of 10 and mid-teens EPS growth, and we believe that is the right aspiration",2023 Q4,0,Growth & Spending
"As Steve discussed, for the full year 2024 specifically, we are introducing our guidance of having revenue growth of 9 to 11 and earnings per share between 12.65 and 13.15",2023 Q4,0,Growth & Spending
This guidance remains in line with our aspiration and also factors in a range of scenarios based on what were seeing in our business today,2023 Q4,-1,General
We also recently announced an agreement to sell our Accertify business,2023 Q4,-1,General
Our guidance and the items related to 2024 that I just walked through do not include the potential impact from this sale,2023 Q4,-1,General
We do expect to realize a sizable gain on the sale and to reinvest a substantial portion of the gain back into our business as weve done with similar transactions in the past,2023 Q4,-1,General
We expect the deal to close in the second quarter and plan to provide more detail then,2023 Q4,-1,General
"With that, Ill turn the call back over to Kartik to open the call for your questions",2023 Q4,2,Customer & Cards
"Kartik Ramachandran -- Head of Investor Relations Thank you, Christophe",2023 Q4,1,Executive & Financial
"Before we open up the lines for QA, I will ask those in the queue to please limit yourself to just one question",2023 Q4,2,Customer & Cards
Thank you for your cooperation,2023 Q4,2,Customer & Cards
"And with that, the operator will now open up the line for questions",2023 Q4,2,Customer & Cards
Operator? Operator Operator instructions Our first question comes from Don Fandetti of Wells Fargo,2023 Q4,-1,General
Please go ahead,2023 Q4,2,Customer & Cards
"Don Fandetti -- Wells Fargo Securities -- Analyst Hi, Good morning",2023 Q4,1,Executive & Financial
Good to see the 24 EPS guidance and rev guidance,2023 Q4,0,Growth & Spending
"I guess on January spend, some of your peers have noted a slowdown on weather",2023 Q4,0,Growth & Spending
